member_id,first_name,last_name,region,signup_date
M001,Sarah,Johnson,northeast,2023-01-15
M002,Michael,Chen,west,2023-01-22
M003,Jennifer,Williams,south,2023-02-03
M004,David,Martinez,midwest,2023-02-10
M005,Lisa,Anderson,northeast,2023-02-18
M006,Robert,Taylor,west,2023-03-05
M007,Maria,Garcia,south,2023-03-12
M008,James,Rodriguez,midwest,2023-03-20
M009,Patricia,Lee,northeast,2023-04-08
M010,William,Brown,west,2023-04-15
M011,Linda,Davis,south,2023-04-22
M012,Richard,Miller,midwest,2023-05-01
M013,Barbara,Wilson,northeast,2023-05-10
M014,Thomas,Moore,west,2023-05-18
M015,Elizabeth,Taylor,south,2023-06-02
M016,Charles,Anderson,midwest,2023-06-12
M017,Susan,Thomas,northeast,2023-06-20
M018,Joseph,Jackson,west,2023-07-05
M019,Margaret,White,south,2023-07-15
M020,Christopher,Harris,midwest,2023-07-25
M021,Jessica,Martin,northeast,2023-08-03
M022,Daniel,Thompson,west,2023-08-12
M023,Sarah,Garcia,south,2023-08-22
M024,Matthew,Martinez,midwest,2023-09-01
M025,Ashley,Robinson,northeast,2023-09-10
M026,Andrew,Clark,west,2023-09-20
M027,Emily,Rodriguez,south,2023-10-01
M028,Joshua,Lewis,midwest,2023-10-12
M029,Amanda,Lee,northeast,2023-10-22
M030,Ryan,Walker,west,2023-11-01
M031,Nicole,Hall,south,2023-11-10
M032,Brandon,Allen,midwest,2023-11-18
M033,Stephanie,Young,northeast,2023-11-25
M034,Kevin,Hernandez,west,2023-12-02
M035,Rachel,King,south,2023-12-10
M036,Jason,Wright,midwest,2023-12-15
M037,Lauren,Lopez,northeast,2023-12-20
M038,Eric,Hill,west,2023-12-28
M039,Melissa,Scott,south,2024-01-05
M040,Brian,Green,midwest,2024-01-12
M041,Amy,Adams,northeast,2024-01-18
M042,Jonathan,Baker,west,2024-01-25
M043,Heather,Gonzalez,south,2024-02-01
M044,Aaron,Nelson,midwest,2024-02-08
M045,Michelle,Carter,northeast,2024-02-15
M046,Justin,Mitchell,west,2024-02-22
M047,Kimberly,Perez,south,2024-03-01
M048,Timothy,Roberts,midwest,2024-03-08
M049,Donna,Turner,northeast,2024-03-15
M050,Kyle,Phillips,west,2024-03-22
